species,logFC,p_value,logP
Bifidobacterium thermophilum,1.069863364,0.002757659,2.559459361
Bifidobacterium adolescentis,0.619065558,0.21664405,0.664253234
Bifidobacterium bifidum,0.371739471,0.747648912,0.126302294
Bifidobacterium angulatum,2.277775567,0.380432158,0.419722779
Bifidobacterium asteroides,1.015914213,0.002961379,2.528506072
Bifidobacterium breve,0.290255005,0.881445843,0.054804366
Bifidobacterium catenulatum,1.994189476,0.016838356,1.773700314
Bifidobacterium dentium,0.346062869,0.758251074,0.120186966
Bifidobacterium pseudolongum,1.215704486,0.003510316,2.45465374
Bifidobacterium choerinum,1.197494645,0.003135171,2.503738739
Bifidobacterium sp. KRGSERBCFTRI,1.290158947,0.013884863,1.857458404
Bifidobacterium sp. FKU,-0.791950407,0.585697696,0.232326484
Bifidobacterium sp. TKU,-0.852053161,0.490089413,0.309724679
Bifidobacterium sp. SKU,1.277140379,0.630685691,0.200187022
Bifidobacterium saguini,1.30573819,0.001272177,2.895452419
Bifidobacterium subtile,1.378963283,0.001894011,2.722617605
Bifidobacterium pullorum,0.093618647,0.958419525,0.018444347
Bifidobacterium actinocoloniiforme,1.119307381,0.011185182,1.951356943
Bifidobacterium longum,1.062199692,0.023212057,1.63428637
Bifidobacterium imperatoris,1.28174867,0.04035948,1.394054435
Bifidobacterium scardovii,0.755926547,0.019327862,1.713816182
Bifidobacterium animalis,0.711276347,0.470467945,0.327469962
Bifidobacterium pseudocatenulatum,0.194134108,0.880293548,0.055372481
Bifidobacterium eulemuris,1.125186309,0.003510316,2.45465374
Bifidobacterium lemurum,1.141747976,0.003510316,2.45465374